code,disclosure_year,report_year,file_name,sentence_id,AI_sentence,matched_keywords,total_sentences_in_report,innovation_score,risk_score,label
000001,2023,2022,000001_2023_2022年年度报告.pdf,119,自2021年以来本行提出零售转型新模式，积极引领商业模式变革，开启了智能化银行3.0的新发展阶段,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,122,本行结合新模式的发展要求，搭建科学的客群划分机制以及由总部“AI大脑”决策引擎驱动的智慧经营体系，推动更精准的客户需求洞察、更适配的产品服务供给以及更智能的运营触达，实现对客户全生命周期的精细化、智能化经营，全面进阶“智能化银行3.0”,"AI,智能化",2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,123,“智能化银行3.0”致力于实现以下目标：一是重塑客户经营模式，通过智能化、数据化的经营方式，让客户服务更专业、更精准，大幅提升客户满意度,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,125,三是实现社会价值与商业价值的统一，通过低门槛、广覆盖、智能化的服务手段，将财富级服务提供给大众客户，提升普惠金融的广度、深度以及人民群众的金融获得感、幸福感,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,132,利用“星云物联网平台”及海量数据优势，借助线上化、模型化、自动化等科技手段，不断创新迭代供应链金融服务能力,自动化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,150,AI银行以报价机器人、算法引擎打造一站式做市业务“生产线”，更高效地服务机构客户，巩固FICC（固定收益、外汇和大宗商品）业务的同业领先地位,"AI,算法,机器人",2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,156,1.3.2本行核心竞争力发展战略科学清晰本行积极贯彻落实党的二十大精神，坚持以人民为中心的发展理念，顺应时代趋势，发挥自身优势，坚持“科技引领、零售突破、对公做精”十二字策略方针，持续深化战略转型，着力打造“数字银行、生态银行、平台银行”三张名片，零售业务着力打造零售转型新模式，对公业务着力布局“两大赛道”，资金同业业务着力打响“五张金色名片”，全面深化数字化经营，致力于打造“中国最卓越、全球领先的智能化零售银行”,智能化,2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,160,科技赋能零售业务，通过打造零售转型新模式，为客户提供全生命旅程的陪伴式服务，并依托AI客户经理实现低成本、高精准地触达和激活客户，将私行财富级的服务覆盖到更多的大众客群，持续提升本行零售金融服务能力,AI,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,166,2022年2月，在2021年度第八届“金松奖”金融科技行业评选中，本行“智能反诈机器人”荣获“最佳金融科技安全奖”,机器人,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,379,44平安银行股份有限公司第三章管理层讨论与分析2022年年度报告3.3主要业务讨论与分析3.3.1零售深化转型发展2022年，本行积极践行金融服务实体经济、服务普惠民生的初心使命，充分发挥综合金融和科技赋能优势，持续深入贯彻以开放银行、AI银行、远程银行、线下银行、综合化银行相互衔接并有机融合的零售转型新模式，打造“智能化银行3.0”，零售各项业务稳健发展，业务规模取得进一步突破,"AI,智能化",2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,400,三是通过强化人机协同赋能队伍经营，让理财经理的展业和服务更加专业化、智能化、个性化，切实提升客户财富健康度,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,406,通过全面贯彻以客户为中心的经营理念，深入推进“智能化银行3.0”建设,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,407,同时，持续推动综合经营、协同发展，强化全渠道综合化获客及全场景智能化经营,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,421,口袋银行升级方面，本行升级平安口袋银行APP智能化平台布局，打造数字化经营的主门户,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,425,三是推动智能化模式升级，结合获客、留存、激活、转化到复购传播的不同阶段形成精细化的经营策略，全面提升客户全生命周期的服务体验,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,446,智能化服务方面，强化数据驱动，提升客户体验及经营效益,"智能化,数据驱动",2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,447,一是依托信用卡A+新核心系统能力建设，助力智能化新模式突破，2022年创新“惠花惠赚”“额度融合”“实时复额”等新服务模式,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,448,"二是优化智能语音中台，驱动智能化运营，2022年末，本行智能语音中台已渗透到1,425个业务场景，全年外呼规模5.93亿通，同比增长118.0%",智能化,2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,449,三是持续升级“AI+T”智能多媒体交互矩阵，促动多渠道服务融合，构建一站式、全场景、线上化、智能化的多元服务形态与服务能力,"AI,智能化",2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,455,三是加强存量客户经营，借助“AI+T+Offline”随身银行模式多渠道、全方位激活存量客户，提升客户服务水平,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,476,零售转型新模式是本行以客户为中心、以数据驱动为内核，通过科技手段将最优质的产品和服务惠及最广大客群的发展模式,数据驱动,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,477,2022年，本行启动打造“智能化银行3.0”，着力推动新模式加快落地，对零售业务发展的驱动作用持续增强,智能化,2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,485,50平安银行股份有限公司第三章管理层讨论与分析2022年年度报告随身银行“AI+T+Offline”是新模式的核心服务矩阵，是零售业务发展的经营链和服务网,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,487,通过推动口袋银行APP等AI化平台、专业化的远程团队、零售新门店三大服务渠道的无缝衔接与融合，打造“随身银行”，以随时、随心、随享，专人、专业、专属的形式，将最适配、陪伴式的金融服务提供给每一位客户，优化新市民金融服务,AI,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,488,"2022年末，“AI+T+Offline”模式已为超4,900万客户提供服务，同比增长约50%",AI,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,491,AI银行本行全面升级AI平台能力,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,492,在交互形式上，依托数字化、智能化技术打造虚拟专属顾问形象，通过虚拟数字人新颖自然的角色形象和亲切的语音播报动作引导等，提供可视化的、“有人情味”的陪伴式服务体验,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,494,"2022年末，AI客户经理累计上线超1,790个场景，全年月均服务客户较2021年月均水平增长49.9%",AI,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,496,远程银行本行构建智能化、一体化、人机协同的远程银行，及时、“有温度”地触达和服务客户,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,497,"2022年，本行依托人工智能（AI）、大数据能力提升客群服务半径，为超3,700万基础大众客户9提供远程银行服务","人工智能,AI",2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,498,同时，通过构建综合化经营平台，在新客陪伴服务、线上财富管理、AI智能服务、本地化特色服务等远程场景中优化服务流程，提升用户体验，持续提升本行客户服务的广度与深度,AI,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,540,一是加强数字供应链金融，通过“星云物联网平台”及海量多维数据，创新融资模式，有效解决银企信息不对称痛点，以“数字信用”补充抵质押信用，为处于产业链末端的中小微企业提供线上化、模型化、自动化金融服务，帮助中小微企业解决融资难、融资贵问题,自动化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,549,同时，本行运用互联网、云计算、区块链、人工智能等技术，持续优化升级供应链金融平台“平安好链”，为核心企业及其上游中小微客群提供线上供应链金融平台业务，涵盖应收账款确认及转让、融资、结算、风险管理等服务，实现供应链业务的智能化、数字化经营,"人工智能,智能化,云计算",2335,3,1,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,581,同时充分发挥科技创新能力，通过场景化、数字化、智能化运营，打造“保险云平台”，赋能客户经营，打通线上获客新渠道，实现互联网保险的创新突破，2022年，银行推保险规模26.96亿元,智能化,2335,6,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,588,持续精进电子化交易技术，迭代优化定价模型和曲线构建，并运用到新的交易品种上，不断研发和投产新的算法交易策略，将“人机结合”交易模式的优势应用于交易全流程实时风险管控，并敏捷运用交易工具和对冲策略平衡市场单边波动带来的风险，实现风险可测、可控、可承受,算法,2335,3,4,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,596,同时，本行积极参与市场基础设施建设，相继推出基于外汇交易中心“iDeal客户端”的智能报价机器人和X-SWAP平台“专属报价”服务，不断提升自动化交易能力和报价效率，优化机构客户交易体验，并持续探索通过前沿技术、创新工具助力市场整体流动性和效率提升,"自动化,机器人",2335,4,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,629,六是深化科技赋能，加强大数据、AI等技术在业务场景中的应用，获得《银行家》评选的“十佳智能风控创新奖”和“十佳数字财富管理创新奖”、《21世纪经济报道》评选的“金融机构数字化转型领航者”、国际数据管理协会评选的“最佳实践奖”等多个奖项,AI,2335,6,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,632,3.3.4科技赋能数字化经营本行以“科技引领”作为战略转型的驱动力，聚焦降本、增效、提质，以经营数据化、服务线上化、流程自动化、决策智能化、前中后台一体化为着力点，全面深化金融科技应用，赋能数字化经营取得显著成果,"智能化,自动化",2335,7,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,636,运用AI、BI（商业智能）、大数据等领先技术，深度理解客户需求，提供“用户+场景”的一站式金融服务，并以“三预、三先、三提和三降”为目标，推动前、中、后台决策精准、资源优配、运营高效和价值提升,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,638,服务营销零售业务以客户为中心、以数据驱动为内核，打造“有温度”、卓越的零售金融服务能力,数据驱动,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,639,"智能化经营方面，本行全面构建“AI大脑”智慧经营体系，打造“智能化银行3.0”，并推动AB测试机制10在业务策略领域的全面应用，2022年末，已沉淀超5,000个客户特征标签，超100个大数据模型，10AB测试机制（ABTest）是以用户需求为起点，将多套方案通过随机选择具有相似性的用户进行对比测试，精准测度客户反馈，推动最优方案上线的一套技术方案","AI,智能化,数据模型",2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,640,59平安银行股份有限公司第三章管理层讨论与分析2022年年度报告逐步建立起以宫格矩阵为核心的客户分析画像，并利用超300个产品营销及触达等策略，赋能“随身银行”服务模式，加强对客户全生命周期的精细化、智能化经营,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,641,智能化建设方面，“随身银行”智能中台远程坐席全面升级，通过整合工作台、客户端等模块，并升级智能多媒体交互矩阵，实现全渠道无缝协同，为客户提供“有温度”的一站式专业服务,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,642,"2022年，“AI+T+Offline”模式上线超4,000个应用场景，为超4,900万客户提供服务，其中超360万客户首次体验本行投资理财服务，同比增长约90%",AI,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,643,智能化队伍管理方面，完善“三好五星”客户经理团队评价体系，将经营动作标准化、流程化、智能化,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,647,线上依托AI中台和营销中台，实现营销模型构建、商机下发、活动上线及权益分发，线下聚焦垂直行业和重点客群，加强金融、非金融场景和特色专区建设，深化客群经营，提升用户活跃度,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,656,风险控制以守住风险底线为前提，聚焦风险防控，加强生态化、智能化和专业化建设,智能化,2335,1,3,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,657,对公风控方面，智慧风控平台向2.0迈进，聚焦智能审批、智能放款、智慧贷后、智能控制、智能预警、智能分析和智能监控七大智能场景，提升复杂投融、供应链金融等业务的线上化、自动化和智能化水平,"智能化,智能分析,自动化",2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,661,清收处置方面，深耕智能尽调、智能估值、智慧决策、智慧处置、智慧分析、生态服务六大智能场景建设，提60平安银行股份有限公司第三章管理层讨论与分析2022年年度报告升不良资产清收处置全流程线上化、智能化、生态化水平,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,664,集中化提升方面，从业务深层次逻辑入手，利用智能化、数字化手段提升集中作业效率，2022年末，集中运营的自动化、智能化率近99%,"智能化,自动化",2335,4,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,665,数据化驱动方面，建立数据驱动的账户风险管理机制，通过人机协作的模式、动态化的风险策略管理，对存在洗钱风险、电信诈骗的可疑账户实现精准管控，2022年末，风险账户自动化管控率达69.8%,"数据驱动,自动化",2335,1,4,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,667,数字门店打造方面，通过网点周围盘点、大数据选址模型，优化线下门店网点布局，提升潜力客户辐射覆盖，2022年末，在“AI+T+Offline”模式赋能下，网点潜客覆盖率达92%,AI,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,676,智慧稽核方面，“平安慧眼”稽核监察平台布局预警监测、智能作业两大系统集群，升级核心组件功能，凭借其强大的智能化技术应用、显著的工作赋能效果，荣获金融监管部门颁发的金融科技发展奖二等奖,智能化,2335,3,1,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,685,打造敏捷高效的工程体系本行以价值效能为导向，加强标准化、一体化的流程管控，利用自动化作业加速产能释放，利用智能化工具提升研发效率，建立适应“敏态”与“稳态”的应用开发模式,"智能化,自动化",2335,4,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,688,二是推进开发运维一体化（DevOps）工程实践，强化平台推广、自动化工具应用、效能度量体系建设，并通过IT数字化平台（Starlink），打造全流程数字化的研发管理体系,自动化,2335,6,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,689,"2022年，该平台日均构建流水线超10,000次，同比提升约129%，月均自动化发布应用超2,000个，同比提升约150%",自动化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,692,通过自主研发扫描引擎“鹰眼”，自动化扫描盘点全行存量数据，智能打标准确率达90%,自动化,2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,695,数据服务方面，本行通过数据中台、AI中台加强指标、标签等数据半成品沉淀，深化自然语言处理（NLP）、知识图谱等AI技术的应用，提高业务场景的数据需求响应效率，提升数据应用价值,"AI,自然语言处理,NLP,知识图谱",2335,4,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,696,2022年，数据中台沉淀的数据标签数量同比增长61.8%，业务视图数量同比增长50.4%，算法模型数量同比增长16.5%，支持各类业务的数据应用场景,算法,2335,4,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,698,大数据应用方面，将多模态识别技术应用于消费金融业务，通过融合视频、图像、音频、语义等多维信息，有效提升面审环节的风险识别率，其中“新一贷”业务通过流程自动化节省人力成本约420万元/年,"自动化,多模态",2335,3,1,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,699,自主研发金融市场业务数据模型，通过建立统一的数据标准，实现查询、传输、存储过程的数据结构一致，极大提高了数据使用效率,数据模型,2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,700,AI应用方面，本行与互联网头部企业合作，搭建离线、近线和在线推荐引擎，支撑亿级用户的秒级实时性推荐，月均触客数同62平安银行股份有限公司第三章管理层讨论与分析2022年年度报告比增长约11%,AI,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,701,基于虚拟数字人技术、智能引擎和音视频平台，实现AI客服和人工服务的无缝衔接，节省运营成本约30人/年,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,704,夯实安全稳固的基础设施一是保障业务连续性，本行持续深化容灾体系建设，推进智能化运维和基础设施云原生改造，进一步提升IT基础架构的稳定性和应急能力,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,739,三是加大问题资产清收处置力度，进一步发挥特殊资产管理专业化优势，并积极推动清收处置模式“线上化、智能化、生态化”转型，提升清收处置效果,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,740,四是提升智慧风控水平，通过打造专项评级模型，提升风险识别能力，充分运用大数据、人工智能、区块链等前沿技术，持续迭代升级智慧风控平台，不断提升风险管理效率与效果,人工智能,2335,0,2,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,774,在客户服务上，本行聚焦中高端市场，贯彻资产配置服务理念，升级运营流程及权益体系，打造了专业的综合保障理财规划顾问服务，搭建了包括“健康、养老、传承”在内的一站式客户权益体系，并强化科技赋能，提升银保客户经营线上化水平，为客户提供定制化、智能化、一站式的解决方案和服务体验,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,781,强化金融科技应用本行密切跟进并落实党的二十大精神，推进人工智能、物联网、大数据、量子计算等新技术与银行业务深度融合,人工智能,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,800,四是进一步强化科技赋能，持续推动智慧特管平台向“智能化、移动化”方向迭68平安银行股份有限公司第三章管理层讨论与分析2022年年度报告代升级，全面推出“特资e”小程序，为不良资产清收处置提供强有力支持,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,802,本行将大额风险暴露纳入全面风险管理体系，并制定了《平安银行大额风险暴露管理办法》，明确规定大额风险暴露管理职责和流程管理方案，不断完善客户授信管理要求、系统建设与数据治理，实现客户大额风险暴露的自动化统计、监测、预警和控制，通过科技手段动态管控客户集中度风险，定期向监管报告大额风险暴露与管理情况,自动化,2335,1,8,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,835,二是强化数据驱动，通过整合风险监测数据，深化以风险为本的数字化经营方向，并升级完善风险热图，不断提升操作风险管理的智能化水平,"智能化,数据驱动",2335,2,4,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,924,持续深化科技引领，充分运用大数据、AI等领先科技，打造智慧风控平台，全面提升风险管理的效率和水平,AI,2335,0,1,risk
000001,2023,2022,000001_2023_2022年年度报告.pdf,944,一是推进“智慧风控平台2.0”升级，迭代智能尽调、智能控制等基础应用，扩充智慧贷后、智慧押品、智慧评级等新场景，打通预警、贷后、处置一体化管理流程，推进对代销、同业等业务的智能化覆盖，持续提升智能化风险管理水平,智能化,2335,3,1,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,1170,"报告期内本行接待投资者的主要情况如下：接待对谈论的主要内容接待时间接待地点接待方式接待对象调研的基本情况索引象类型及提供的资料2022年1月12日深圳电话沟通机构境外投资者2022年2月6日深圳实地调研机构境内投资者2022年3月10日深圳实地调研机构境内外投资者2022年3月21-25日深圳电话沟通机构境内外投资者2022年4月11日深圳电话沟通机构境内投资者2022年5月17日深圳电话沟通机构境内外投资者2022年5月19日深圳电话沟通机构境内投资者本行的经营管理巨潮资讯网2022年6月9日深圳电话沟通机构境内投资者情况和发展战略，(http://www.cninfo.com.cn）2022年7月14日深圳电话沟通机构境内投资者定期报告和临时《平安银行股份有限公司投公告及其说明资者关系活动记录表》2022年8月18日深圳电话沟通机构境内外投资者2022年9月1日深圳电话沟通机构境内投资者2022年9月13日深圳电话沟通机构境外投资者2022年10月8日深圳电话沟通机构境内投资者2022年11月2日深圳电话沟通机构境外投资者2022年11月10日深圳电话沟通机构境外投资者2022年12月2日深圳电话沟通机构境内投资者4.13机构和员工情况4.13.1机构建设情况本行持续实施网点智能化建设，合理配置网点布局，2022年末，本行共有109家分行（含香港分行），合计1,191家营业机构",智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,1204,二是借助科技手段升级完善部门控制检查体系，提升管理工具的精细化、数字化和智能化水平,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,1241,同时，借助大数据、AI、物联网、区块链等领先技术，深入供应链场景和生态，推动小微专属产品“新微贷”实现数字化升级，并持续优化“宅抵贷”“抵押E贷”等普惠产品，有效缓解企业融资难、融资贵的问题,AI,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,1252,四是提升小微企业的服务便利度，依托大数据模型实施风险控制，实现流程线上化、审批自动化，减少人工干预，缩短信贷流程,"数据模型,自动化",2335,2,1,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,1305,运用大数据、人工智能等技术加强对消保工作的监督和108平安银行股份有限公司第五章环境和社会责任2022年年度报告管理，持续升级完善消保全流程管控机制，本行“基于大数据和人工智能的消费者权益保护中台”项目荣获2022年度“科创中国”金融数字化转型优秀解决方案奖,人工智能,2335,2,0,innovation
000002,2020,2019,000002_2020_2019年年度报告.pdf,161,14万科企业股份有限公司2019年度报告万科物业还积极开展数字化建设，以更好地响应客户服务需求，实现降本提效和精细运营，包括纸电一体化发票管理平台、人行出入口无人值守智能化产品、“黑猫二号”智慧停车场管理系统等,智能化,1809,2,0,innovation
000002,2020,2019,000002_2020_2019年年度报告.pdf,208,期内，本集团加大BIM技术的研发与应用，打造地产开发不动产数字化平台，自主创新的AI审图技术可有效提升图纸审查效率与准确度，保障生产质量与安全,AI,1809,4,0,innovation
000002,2020,2019,000002_2020_2019年年度报告.pdf,212,与战略合作伙伴微软共同发起设立“万科未来城市实验室”，共同研发适合国内市场、与未来城市相关的行业标准，以及适用各类空间的智慧化未来城市解决方案,智慧化,1809,1,0,innovation
